N,g_matter=N^2/(N^2-1),matter_error,g_packet=N*(1/N)
10,1.01010101010101017,0.0101010101010101661,1
100,1.00010001000100002,0.000100010001000017112,1
1000,1.00000100000100001,1.00000100000663394e-06,1
10000,1.00000001000000016,1.00000001612698952e-08,1
1000000,1.00000000000100009,1.00008890058234101e-12,1
1000000000,1,0,1
